Date,Open,High,Low,Close,Volume
1999-01-22,0.401785,0.447675,0.355785,0.3765,73946972.649927
1999-01-25,0.406384,0.420171,0.3765,0.415522,13923548.733977
1999-01-26,0.420171,0.429309,0.37887,0.383359,9379921.4409748
1999-01-27,0.385618,0.394837,0.362763,0.383359,6719370.1349941
1999-01-28,0.383359,0.385618,0.37887,0.381069,6224111.4623599
1999-01-29,0.381069,0.383359,0.362763,0.362763,6704980.0936672
1999-02-01,0.362763,0.374251,0.362763,0.369662,4228679.7290165
1999-02-02,0.362763,0.374251,0.33059,0.342008,7191110.8371188
1999-02-03,0.337609,0.353635,0.335209,0.349006,2093431.445526
1999-02-04,0.353635,0.37887,0.349006,0.367302,5019262.8182954
1999-02-05,0.374251,0.383359,0.365033,0.37887,3763474.4081408
1999-02-08,0.381069,0.383359,0.365033,0.365033,4202545.2055
1999-02-09,0.374251,0.3765,0.346637,0.351286,2376993.3761761
1999-02-10,0.351286,0.360404,0.342008,0.349006,4099303.385401
1999-02-11,0.349006,0.392517,0.349006,0.37887,3640630.4451402
1999-02-12,0.383359,0.401785,0.383359,0.399456,3049976.6107937
1999-02-16,0.406384,0.422341,0.360404,0.401785,5815089.0157022
1999-02-17,0.392517,0.397186,0.374251,0.381069,1851687.3530518
1999-02-18,0.392517,0.397186,0.3765,0.385618,1978427.1394323
1999-02-19,0.383359,0.406384,0.37887,0.399456,2102579.3789364
1999-02-22,0.406384,0.410913,0.381069,0.401785,5643895.8341223
1999-02-23,0.410913,0.429309,0.387938,0.420171,3815741.4547509
1999-02-24,0.482038,0.502694,0.443076,0.454604,16730463.97389
1999-02-25,0.47292,0.488977,0.434008,0.440747,4065328.2047662
1999-02-26,0.445416,0.459173,0.415522,0.420171,4769684.0699712
1999-03-01,0.429309,0.440747,0.401785,0.422341,2523347.307995
1999-03-02,0.420171,0.422341,0.410913,0.417842,1541982.897194
1999-03-03,0.420171,0.420171,0.387938,0.390218,1728848.3911082
1999-03-04,0.408634,0.410913,0.37887,0.381069,1630842.6776573
1999-03-05,0.385618,0.404035,0.385618,0.401785,2174448.5684481
1999-03-08,0.392517,0.420171,0.385618,0.408634,2126105.351137
1999-03-09,0.408634,0.42701,0.408634,0.422341,3959492.8365223
1999-03-10,0.42701,0.42701,0.408634,0.415522,6409663.6787136
1999-03-11,0.408634,0.415522,0.397186,0.397186,1500165.0590181
1999-03-12,0.399456,0.399456,0.383359,0.390218,2537723.3463624
1999-03-15,0.399456,0.410913,0.397186,0.406384,3012103.6063561
1999-03-16,0.408634,0.413233,0.390218,0.392517,2191444.1604566
1999-03-17,0.397186,0.404035,0.385618,0.394837,1449189.2853178
1999-03-18,0.397186,0.406384,0.387938,0.401785,1309378.7364391
1999-03-19,0.399456,0.413233,0.399456,0.401785,2936288.5828948
1999-03-22,0.410913,0.410913,0.390218,0.390218,1045409.946788
1999-03-23,0.392517,0.392517,0.358134,0.365033,4475649.9260248
1999-03-24,0.362763,0.365033,0.349006,0.362763,1706616.6924515
1999-03-25,0.362763,0.383359,0.360404,0.367302,1127737.3466364
1999-03-26,0.374251,0.401785,0.374251,0.401785,2431887.9781185
1999-03-29,0.413233,0.422341,0.406384,0.413233,1850370.0746457
1999-03-30,0.413233,0.417842,0.3765,0.37887,1927460.3676346
1999-03-31,0.390218,0.408634,0.371951,0.404035,4181642.7877861
1999-04-01,0.404035,0.406384,0.385618,0.392517,853326.35003084
1999-04-05,0.387938,0.397186,0.37887,0.381069,2725898.1169914
1999-04-06,0.383359,0.385618,0.362763,0.369662,1935308.0262327
1999-04-07,0.374251,0.404035,0.369662,0.401785,2475015.0930093
1999-04-08,0.404035,0.420171,0.399456,0.408634,3550464.3885963
1999-04-09,0.410913,0.410913,0.399456,0.401785,1332891.7058916
1999-04-12,0.397186,0.397186,0.37887,0.385618,976147.30816935
1999-04-13,0.392517,0.392517,0.362763,0.369662,1023185.2496111
1999-04-14,0.367302,0.3765,0.358134,0.358134,1318522.669004
1999-04-15,0.367302,0.367302,0.358134,0.367302,1010130.4904953
1999-04-16,0.365033,0.385618,0.365033,0.381069,1067626.6422737
1999-04-19,0.385618,0.385618,0.358134,0.362763,889906.08113586
1999-04-20,0.362763,0.37887,0.353635,0.355785,1850370.0746457
1999-04-21,0.355785,0.362763,0.353635,0.362763,1080697.4047718
1999-04-22,0.362763,0.362763,0.344307,0.346637,6209726.42209
1999-04-23,0.344307,0.346637,0.328271,0.33059,3451145.3975849
1999-04-26,0.33059,0.335209,0.305275,0.312234,3415861.9404467
1999-04-27,0.321392,0.349006,0.314544,0.346637,6199273.2128102
1999-04-28,0.349006,0.349006,0.33294,0.344307,3270821.2861882
1999-04-29,0.344307,0.346637,0.337609,0.344307,1313290.5632014
1999-04-30,0.349006,0.362763,0.344307,0.349006,2754660.1958401
1999-05-03,0.353635,0.353635,0.342008,0.351286,925181.53658298
1999-05-04,0.351286,0.351286,0.325971,0.33294,2616126.9169117
1999-05-05,0.335209,0.339768,0.314544,0.339768,3945106.796041
1999-05-06,0.337609,0.344307,0.323682,0.33294,1000973.5551823
1999-05-07,0.323682,0.337609,0.323682,0.335209,696513.20766384
1999-05-10,0.33294,0.342008,0.33294,0.335209,543610.89184777
1999-05-11,0.349006,0.362763,0.342008,0.353635,4733087.3352725
1999-05-12,0.355785,0.365033,0.351286,0.362763,4594566.0588808
1999-05-13,0.362763,0.374251,0.362763,0.362763,1945765.236358
1999-05-14,0.362763,0.362763,0.339768,0.344307,842863.13863716
