Date,Open,High,Low,Close,Volume
1990-05-29,0.377862,0.394453,0.377862,0.394453,10471823.700448
1990-05-30,0.386103,0.394453,0.386103,0.394453,14142863.767594
1990-05-31,0.394453,0.402983,0.394453,0.394453,12541782.31319
1990-06-01,0.394453,0.402983,0.394453,0.394453,17398394.318702
1990-06-04,0.394453,0.402983,0.394453,0.394453,10487067.870716
1990-06-05,0.402983,0.411403,0.394453,0.411403,20440444.264952
1990-06-06,0.411403,0.411403,0.402983,0.402983,15153068.537472
1990-06-07,0.402983,0.402983,0.386103,0.394453,10750100.559257
1990-06-08,0.386103,0.394453,0.369323,0.369323,14261038.703073
1990-06-11,0.369323,0.377862,0.360963,0.369323,4978592.4639438
1990-06-12,0.377862,0.386103,0.360963,0.386103,5500849.3073738
1990-06-13,0.386103,0.411403,0.386103,0.402983,14135238.671762
1990-06-14,0.402983,0.402983,0.394453,0.402983,3644361.2638274
1990-06-15,0.394453,0.402983,0.394453,0.394453,3831152.0261378
1990-06-18,0.394453,0.394453,0.394453,0.394453,4612632.0208909
1990-06-19,0.394453,0.402983,0.386103,0.402983,5359805.1057943
1990-06-20,0.402983,0.419763,0.402983,0.411403,14440208.383816
1990-06-21,0.411403,0.411403,0.394453,0.411403,14752802.188136
1990-06-22,0.419763,0.444824,0.411403,0.428123,26734210.207262
1990-06-25,0.436483,0.453194,0.428123,0.444824,22083457.725039
1990-06-26,0.453194,0.453194,0.428123,0.436483,14276285.88404
1990-06-27,0.436483,0.436483,0.411403,0.428123,5542781.3130561
1990-06-28,0.419763,0.436483,0.419763,0.436483,8032079.0503772
1990-06-29,0.444824,0.453194,0.444824,0.453194,2801887.5273768
1990-07-02,0.444824,0.453194,0.436483,0.453194,4250484.1257542
1990-07-03,0.453194,0.461644,0.444824,0.461644,4162803.5522088
1990-07-05,0.461644,0.470094,0.453194,0.461644,4441088.4395471
1990-07-06,0.461644,0.461644,0.453194,0.461644,2321568.7110261
1990-07-09,0.461644,0.461644,0.444824,0.453194,1635384.3499893
1990-07-10,0.453194,0.453194,0.436483,0.436483,4155182.4706409
1990-07-11,0.436483,0.461644,0.428123,0.461644,8973672.0076884
1990-07-12,0.461644,0.495334,0.453194,0.495334,12244446.729064
1990-07-13,0.495334,0.520643,0.495334,0.503604,18785991.153985
1990-07-16,0.503604,0.503604,0.503604,0.503604,6594920.0957487
1990-07-17,0.503604,0.503604,0.486774,0.486774,4646939.9343067
1990-07-18,0.486774,0.495334,0.470094,0.478593,4006508.1553979
1990-07-19,0.470094,0.470094,0.444824,0.453194,11615447.576073
1990-07-20,0.453194,0.470094,0.453194,0.461644,8420909.7630971
1990-07-23,0.453194,0.453194,0.428123,0.444824,7120992.4977936
1990-07-24,0.444824,0.478593,0.436483,0.478593,14653682.967275
1990-07-25,0.486774,0.495334,0.478593,0.495334,13349947.132658
1990-07-26,0.495334,0.495334,0.486774,0.495334,1803118.3941153
1990-07-27,0.495334,0.495334,0.478593,0.478593,5104390.4881229
1990-07-30,0.478593,0.495334,0.478593,0.495334,3274586.2657258
1990-07-31,0.495334,0.503604,0.495334,0.495334,8512404.8916912
1990-08-01,0.495334,0.495334,0.470094,0.478593,5416985.2960094
1990-08-02,0.470094,0.470094,0.461644,0.470094,4319099.9525859
1990-08-03,0.461644,0.461644,0.386103,0.428123,20009674.521587
1990-08-06,0.428123,0.428123,0.402983,0.419763,7723301.8082379
1990-08-07,0.461644,0.461644,0.428123,0.453194,18137940.30064
1990-08-08,0.461644,0.461644,0.428123,0.436483,41700484.971725
1990-08-09,0.436483,0.470094,0.436483,0.470094,7201041.9541094
1990-08-10,0.461644,0.470094,0.453194,0.461644,2908629.8369376
1990-08-13,0.453194,0.486774,0.453194,0.478593,6934197.7212184
1990-08-14,0.478593,0.486774,0.461644,0.461644,7056182.193915
1990-08-15,0.470094,0.470094,0.461644,0.470094,3648168.7939128
1990-08-16,0.461644,0.470094,0.461644,0.461644,5298809.3569644
1990-08-17,0.453194,0.470094,0.453194,0.470094,4627878.1982914
1990-08-20,0.461644,0.461644,0.419763,0.444824,8462843.7759117
1990-08-21,0.436483,0.436483,0.411403,0.419763,6301390.034576
1990-08-22,0.436483,0.436483,0.419763,0.428123,6316641.2298074
1990-08-23,0.411403,0.411403,0.386103,0.394453,14745177.092303
1990-08-24,0.394453,0.428123,0.386103,0.419763,12865810.750561
1990-08-27,0.436483,0.453194,0.436483,0.453194,11562078.930208
1990-08-28,0.444824,0.461644,0.436483,0.453194,12252063.796367
1990-08-29,0.453194,0.453194,0.444824,0.453194,1578208.174039
1990-08-30,0.453194,0.453194,0.436483,0.444824,2828572.3520924
1990-08-31,0.453194,0.453194,0.436483,0.453194,3579555.9777797
1990-09-04,0.444824,0.453194,0.444824,0.453194,7704240.0722226
1990-09-05,0.461644,0.470094,0.453194,0.461644,9210017.8643813
1990-09-06,0.461644,0.470094,0.436483,0.436483,7059994.7418313
1990-09-07,0.436483,0.453194,0.428123,0.444824,6061228.6192683
1990-09-10,0.461644,0.478593,0.461644,0.478593,23249954.88103
1990-09-11,0.470094,0.478593,0.461644,0.470094,12133892.875153
1990-09-12,0.470094,0.478593,0.470094,0.470094,14329656.537037
1990-09-13,0.478593,0.478593,0.461644,0.461644,2702774.3279133
1990-09-14,0.461644,0.478593,0.453194,0.478593,9129968.4080655
1990-09-17,0.478593,0.486774,0.478593,0.478593,3659609.4483603
1990-09-18,0.470094,0.486774,0.470094,0.486774,13140284.093549
1990-09-19,0.478593,0.486774,0.478593,0.478593,10670050.099375
1990-09-20,0.478593,0.486774,0.470094,0.470094,6053603.5234357
1990-09-21,0.478593,0.478593,0.470094,0.470094,1593456.3585718
1990-09-24,0.470094,0.470094,0.461644,0.470094,6686410.2065119
1990-09-25,0.470094,0.478593,0.470094,0.478593,5615212.6985025
1990-09-26,0.478593,0.478593,0.453194,0.461644,15095884.332992
1990-09-27,0.470094,0.470094,0.377862,0.411403,29509408.895659
1990-09-28,0.402983,0.436483,0.394453,0.428123,7231538.323175
1990-10-01,0.436483,0.453194,0.436483,0.453194,12069085.581973
1990-10-02,0.444824,0.461644,0.436483,0.444824,7300161.1749699
1990-10-03,0.436483,0.453194,0.436483,0.444824,3388953.6711192
1990-10-04,0.444824,0.444824,0.428123,0.428123,4940470.9990455
1990-10-05,0.428123,0.428123,0.402983,0.402983,3995075.5294799
1990-10-08,0.411403,0.411403,0.386103,0.394453,11108439.920742
1990-10-09,0.394453,0.428123,0.386103,0.394453,926340.7585136
1990-10-10,0.394453,0.394453,0.386103,0.394453,22609521.094988
1990-10-11,0.394453,0.394453,0.344282,0.369323,20619608.927864
1990-10-12,0.377862,0.377862,0.352543,0.360963,20135476.560031
1990-10-15,0.369323,0.394453,0.360963,0.394453,4551637.2756272
1990-10-16,0.394453,0.394453,0.377862,0.386103,6690222.7544282
1990-10-17,0.377862,0.402983,0.377862,0.394453,5131075.3128384
1990-10-18,0.394453,0.428123,0.394453,0.428123,7593690.2325764
1990-10-19,0.436483,0.436483,0.411403,0.428123,4852793.4361986
1990-10-22,0.419763,0.461644,0.419763,0.453194,4883291.8123966
1990-10-23,0.444824,0.453194,0.436483,0.453194,5031961.1098088
1990-10-24,0.453194,0.461644,0.444824,0.461644,2920064.469988
1990-10-25,0.453194,0.461644,0.444824,0.444824,8104510.4358237
1990-10-26,0.444824,0.444824,0.436483,0.444824,7323030.4410706
1990-10-29,0.453194,0.453194,0.411403,0.411403,6221336.5639955
1990-10-30,0.419763,0.453194,0.411403,0.444824,13174591.003398
1990-10-31,0.461644,0.478593,0.453194,0.461644,34217345.582361
1990-11-01,0.470094,0.470094,0.461644,0.470094,20181222.117196
1990-11-02,0.470094,0.478593,0.461644,0.470094,11466777.275095
1990-11-05,0.478593,0.478593,0.470094,0.478593,8043517.6976923
1990-11-06,0.486774,0.486774,0.453194,0.453194,12069085.581973
1990-11-07,0.453194,0.461644,0.444824,0.453194,9007978.917538
1990-11-08,0.453194,0.461644,0.444824,0.453194,6915137.9923355
1990-11-09,0.461644,0.461644,0.453194,0.453194,6911325.4444192
1990-11-12,0.453194,0.495334,0.453194,0.495334,13502432.992252
1990-11-13,0.495334,0.495334,0.478593,0.495334,10982641.896563
1990-11-14,0.495334,0.503604,0.486774,0.495334,9758957.5253945
1990-11-15,0.495334,0.520643,0.495334,0.511974,14261038.703073
1990-11-16,0.520643,0.520643,0.495334,0.495334,6065037.1529199
1990-11-19,0.503604,0.511974,0.486774,0.503604,10929268.232867
1990-11-20,0.511974,0.511974,0.486774,0.486774,2794262.4315442
1990-11-21,0.495334,0.495334,0.486774,0.495334,4970968.3716774
1990-11-23,0.486774,0.495334,0.478593,0.486774,1852676.4991963
1990-11-26,0.478593,0.495334,0.478593,0.495334,3068734.7709663
1990-11-27,0.503604,0.520643,0.495334,0.520643,9587410.9333522
1990-11-28,0.537184,0.545754,0.520643,0.520643,16491113.289071
1990-11-29,0.520643,0.520643,0.511974,0.520643,5748637.8256465
1990-11-30,0.520643,0.528814,0.511974,0.528814,6137470.5454987
1990-12-03,0.528814,0.537184,0.511974,0.520643,11401966.971216
1990-12-04,0.511974,0.562494,0.511974,0.562494,55073307.391882
1990-12-05,0.570964,0.595875,0.570964,0.587704,60989675.247389
1990-12-06,0.595875,0.595875,0.570964,0.579035,40518734.613371
1990-12-07,0.579035,0.587704,0.579035,0.579035,15069203.522542
1990-12-10,0.579035,0.579035,0.570964,0.570964,4826107.6079169
1990-12-11,0.562494,0.570964,0.553725,0.553725,12922996.962173
1990-12-12,0.562494,0.570964,0.553725,0.570964,4723182.8641033
1990-12-13,0.570964,0.579035,0.570964,0.570964,13917950.536819
1990-12-14,0.570964,0.570964,0.570964,0.570964,3202159.8981103
1990-12-17,0.570964,0.570964,0.562494,0.570964,26497858.329172
1990-12-18,0.570964,0.579035,0.553725,0.579035,7475517.30423
1990-12-19,0.595875,0.612815,0.579035,0.595875,33405370.222109
1990-12-20,0.595875,0.604245,0.587704,0.595875,5371234.7210138
1990-12-21,0.595875,0.595875,0.595875,0.595875,5733387.6339813
1990-12-24,0.595875,0.595875,0.595875,0.595875,1825992.6780469
1990-12-26,0.595875,0.595875,0.595875,0.595875,5176817.8593046
1990-12-27,0.595875,0.621384,0.595875,0.604245,13018296.610154
1990-12-28,0.604245,0.604245,0.595875,0.595875,38433520.791134
1990-12-31,0.604245,0.604245,0.595875,0.604245,8058763.8750928
1991-01-02,0.604245,0.621384,0.595875,0.595875,15656267.659152
